COMM_ID,COMM_NAME,SHAPE_YEAR,X,Y,Lat,Long,PROV_CODE_1,PROV_NAMT,AMP_CODE_1,AMP_NAMT,TAM_CODE_1,TAM_NAMT
104064,เพชรเกษม 58 (บางส่วน),2562,654745.2959,1516921.425,13.717315,100.431084,10,กรุงเทพมหานคร,22,ภาษีเจริญ,02,บางด้วน
104065,เพชรเกษม 56 (บางส่วน),2562,655050.4396,1516618.289,13.714558,100.433889,10,กรุงเทพมหานคร,22,ภาษีเจริญ,01,บางหว้า
104081,แก้วกลม (บางส่วน),2562,655296.6575,1515102.523,13.700844,100.436082,10,กรุงเทพมหานคร,35,จอมทอง,01,บางขุนเทียน
104085,วิสุทธิจิตร,2562,657830.8683,1515239.804,13.701947,100.459519,10,กรุงเทพมหานคร,35,จอมทอง,01,บางขุนเทียน
104086,ไม่มีชื่อ (ริมทางรถไฟข้างวัดไทร),2562,657688.1,1514121.123,13.691843,100.458137,10,กรุงเทพมหานคร,35,จอมทอง,01,บางขุนเทียน
104092,โรงพักเก่าบางขุนเทียน (บางส่วน),2562,658203.047,1514803.511,13.697983,100.462936,10,กรุงเทพมหานคร,35,จอมทอง,01,บางขุนเทียน
104099,ชาวสวนสัมพันธ์ (บางส่วน),2562,659344.5444,1513992.307,13.690588,100.473443,10,กรุงเทพมหานคร,35,จอมทอง,04,จอมทอง
104100,รุ่งอรุณ (บางส่วน),2562,660299.8835,1514107.073,13.691573,100.482281,10,กรุงเทพมหานคร,24,ราษฎร์บูรณะ,02,บางปะกอก
104106,วัดจันทร์ใน (บางส่วน),2562,662404.8884,1514904.265,13.698661,100.501787,10,กรุงเทพมหานคร,31,บางคอแหลม,01,บางคอแหลม
104110,เล็กเที่ยง (บางส่วน),2562,672667.3612,1515238.074,13.701084,100.596681,10,กรุงเทพมหานคร,09,พระโขนง,10,พระโขนงใต้
104111,บ้านสวนร่วมพัฒนา (บางส่วน),2562,672670.761,1514161.412,13.691352,100.596647,10,กรุงเทพมหานคร,09,พระโขนง,10,พระโขนงใต้
104117,รวมมิตร (บางส่วน),2562,656804.4447,1513376.123,13.685157,100.449926,10,กรุงเทพมหานคร,35,จอมทอง,01,บางขุนเทียน
