ticket_id,type,organization,comment,coords,photo,photo_after,address,subdistrict,district,province,timestamp,state,star,count_reopen,last_activity
2023-NT98AC,{แสงสว่าง},เขตบึงกุ่ม,"ไฟถนนจากปากซอยรามอินทรา 40 ดับเกือบทั้งเส้นจนเกือบถึงกลางซอย ไฟดับมานานแล้ว กลางคืนมืดมากแจ้งไปหลายครั้งไม่เคยมีการแก้ไข","100.64802,13.84511",https://storage.googleapis.com/traffy_public_bucket/attachment/2023-05/306d3fc4b6420fafb669f0cd5a2aaf014d4b0c93.jpg,,"21/12 หมู่ที่ 12 ซอยทรงนิภาคอนโดมิเนี่ยม ถนนนวลจันทร์ แขวงคลองกุ่ม เขตบึงกุ่ม กรุงเทพมหานคร 10230 แขวงนวลจันทร์ เขตบึงกุ่ม กรุงเทพมหานคร 10230 ประเทศไทย",นวลจันทร์,บึงกุ่ม,กรุงเทพมหานคร,"2023-05-12 12:44:23.222056+00",รอรับเรื่อง,,0,"2023-05-12 12:44:23.212206+00"
EDWYU2,"{ร้องเรียน,ถนน}",เขตคลองสามวา,"ปัญหา : เหตุเดือดร้อนรำคาญ เนื่องจากมีคนเผาที่ทุ่งนา ที่ติดกับรั้วบ้าน ทำให้ได้รับผลกระทบทั้งเขม่าควัน และกลิ่น (เผามาประมาณ2 อาทิตย์แล้ว)ขอให้ดำเนินการตรวจสอบและแก้ไขปัญหานี้ด้วย
พิกัดจุดสังเกต :ทุ่งนาติดกับหมู่บ้าน
ถนน :หนองระแหง 
ซอย : 4
แขวง:สามวาตะวันตก
เขต :คลองสามวา
#1555","100.70390,13.90898",https://storage.googleapis.com/traffy_public_bucket/attachment/2023-05/1683895409209.jpeg,,"4  หนองระแหง 
, : 27/5 ซอย หนองระแหง แขวงสามวาตะวันตก เขตคลองสามวา กรุงเทพมหานคร 10510 ประเทศไทย",สามวาตะวันตก,คลองสามวา,กรุงเทพมหานคร,"2023-05-12 12:43:30.867835+00",รอรับเรื่อง,,0,"2023-05-12 12:43:32.577548+00"
2023-AAZL9G,{ถนน},เขตบางกอกใหญ่,"เวลาข้ามทางม้าลาย จะมีมอเตอร์ไซค์มากลับรถตรงทางม้าลายเสมอ ทำให้ลำบากและเดือดร้อนในการใช้ทางม้าลายมาก","100.47131,13.73522",https://storage.googleapis.com/traffy_public_bucket/attachment/2023-05/6203c92d8ea151e3ff17a4fde3c102a6a174254a.jpg,,"2 ถ. จรัญสนิทวงศ์ แขวงวัดท่าพระ เขตบางกอกใหญ่ กรุงเทพมหานคร 10600 ประเทศไทย",วัดท่าพระ,บางกอกใหญ่,กรุงเทพมหานคร,"2023-05-12 12:43:13.079036+00",รอรับเรื่อง,,0,"2023-05-12 12:43:13.068236+00"
2GY838,"{ถนน,เสียงรบกวน}","เขตทุ่งครุ,ฝ่ายสิ่งแวดล้อมฯ เขตทุ่งครุ","* ปัญหา: ได้รับผลกระทบจากการเปิดเครื่องขยายเสียง เสียงดัง ขอให้ตรวจสอบปัญหา
* จุดเกิดเหตุ:  ตลาดย้อนยุค อยู่ระหว่างซอยประชาอุทิศ 76 กับซอยประชาอุทิศ 76/1
* ซอย: ประชาอุทิศ 76 กับซอยประชาอุทิศ 76/1
* ถนน: ประชาอุทิศ 
* แขวง: ทุ่งครุ
* เขต: ทุ่งครุ

ตลาดย้อนยุค เปิดเครื่องขยายเสียงดังมาก ประชาชนต้องการให้ตรวจสอบมีการขออนุญาตหรือไม่
ที่ถนนประชาอุทิศ อยู่ระหว่างประชาอุทิศ 76 กับ 76/1 เขตทุ่งครุ
สะดวกรับเฉพาะ sms
#1555","100.50601,13.62646",https://storage.googleapis.com/traffy_public_bucket/attachment/2023-05/1683895362528.jpeg,https://storage.googleapis.com/traffy_public_bucket/attachment/2023-05/1683895649881.jpeg,"ประชาอุทิศ 76 ประชาอุทิศ แขวงทุ่งครุ เขตทุ่งครุ กรุงเทพมหานคร : 366 ถ. ประชาอุทิศ แขวงทุ่งครุ เขตทุ่งครุ กรุงเทพมหานคร 10140 ประเทศไทย",ทุ่งครุ,ทุ่งครุ,กรุงเทพมหานคร,"2023-05-12 12:42:44.586301+00",เสร็จสิ้น,,0,"2023-05-12 12:47:31.225502+00"
2023-A48YUX,{แสงสว่าง},"เขตวัฒนา,สำนักการโยธา กทม.",ไม่มีไฟสว่าง,"100.57307,13.72829",https://storage.googleapis.com/traffy_public_bucket/attachment/2023-05/fe1df39e961bb3861396e7c7e3416e9e271af4d0.jpg,,"795 ถ. สุขุมวิท แขวงคลองตัน เขตคลองเตย กรุงเทพมหานคร 10110 ประเทศไทย",คลองตันเหนือ,วัฒนา,กรุงเทพมหานคร,"2023-05-12 12:42:22.578874+00",รอรับเรื่อง,,0,"2023-05-12 13:15:22.822782+00"
2023-82NA7W,{เสียงรบกวน},"เขตห้วยขวาง,ฝ่ายสิ่งแวดล้อมฯ เขตห้วยขวาง","บ้านอยู่ติดกับบ้านเลขที่ 888/152 ซึ่งจัดงานแต่งงานส่งเสียงดังรบกวนได้แจ้งเขตหลายครั้งแล้วเขตได้มาตรวจสอบและได้ให้ปรับปรุงแก้ไขยุติการดำเนินการวันนี้ก็ได้จัดงานอีกแล้วไม่เกรงใจคนอื่นเลย","100.59014,13.78366",https://storage.googleapis.com/traffy_public_bucket/attachment/2023-05/ed024214a78aab417c4fcfd621cc06f8f05b3869.jpg,,"888/144 ซ. ประชาราษฎร์บำเพ็ญ 26 แยก 12 แขวงสามเสนนอก เขตห้วยขวาง กรุงเทพมหานคร 10310 ประเทศไทย",สามเสนนอก,ห้วยขวาง,กรุงเทพมหานคร,"2023-05-12 12:41:53.194502+00",รอรับเรื่อง,,0,"2023-05-12 13:11:44.970564+00"
2023-BNRTF8,"{ทางเท้า,กีดขวาง}",เขตบึงกุ่ม,"อู่ซ่อมรถนำรถมาจอดซ่อมบนทางเท้า กีดขวางคนเดินเท้า","100.64272,13.84307",https://storage.googleapis.com/traffy_public_bucket/attachment/2023-05/f55513723c257d305bf79f3323a3d2c6d898909f.jpg,,"115/54 ซอยรามอินทรา40 ถนนรามอินทรา แขวงคลองกุ่ม แขวงนวลจันทร์ เขตบึงกุ่ม กรุงเทพมหานคร 10230 ประเทศไทย",นวลจันทร์,บึงกุ่ม,กรุงเทพมหานคร,"2023-05-12 12:41:34.450219+00",รอรับเรื่อง,,0,"2023-05-12 12:41:34.439071+00"
2023-B2WMX3,{สะพาน},เขตจตุจักร,"สะพานลอยคนข้ามหน้า Big C Extra ลาดพร้าวดับมาหลายวันแล้วครับ ไม่แน่ใจต้องส่งเรื่องให้หน่วยงานไหน","100.56757,13.80946",https://storage.googleapis.com/traffy_public_bucket/attachment/2023-05/a8abf127eabaa70326930d380f9702c2b3c65624.jpg,,"ห้างคาร์ฟูร์ลาดพร้าว แขวงจอมพล เขตจตุจักร กรุงเทพมหานคร 10900 ประเทศไทย",จอมพล,จตุจักร,กรุงเทพมหานคร,"2023-05-12 12:37:58.761511+00",รอรับเรื่อง,,0,"2023-05-12 12:37:58.748817+00"
86DFEV,"{PM2.5,ร้องเรียน}",เขตคลองสามวา,"ปัญหา : พบคนเผาหญ้าในุทุ่งนา ซึ่งเป็นที่ขนาดกว้างเท่ากับหมู่บ้านที่ประชาชนอยู่ และทุกครั้งที่มีการเผา ทำให้เกิดควัน ฝุ่นเศษเถ้าสีดำ เกิดมลพิษ ประชาชนเดือดร้อนมาก จึงขอให้หน่วยงานดำเนินการแก้ไข
จุดเกิดเหตุ : เข้าซอยมา ประมาณ 500 เมตร และ เลี้ยวเข้ามาใน หมู่บ้าน Centro วงแหวน-จตุโชติ จะพบจุดเกิดเหตุเลย
ซอย : หนองระแหง 4 
เขต : คลองสามวา
แขวง : สามวาตะวันตก
#1555","100.69486,13.91162",https://storage.googleapis.com/traffy_public_bucket/attachment/2023-05/1683894954370.jpeg,,"หนองระแหง 4  เข้าซอยมา ประมาณ 500 เมตร และ เลี้ยวเข้ามาใน หมู่บ้าน Centro วงแหวน-จตุโชติ จะพบจุดเกิดเหตุเลย
เขต คลองสามวา
แขวง สามวาตะวันตก : WM6W+G2X แขวงสามวาตะวันตก เขตคลองสามวา กรุงเทพมหานคร 10510 ประเทศไทย",สามวาตะวันตก,คลองสามวา,กรุงเทพมหานคร,"2023-05-12 12:35:55.767418+00",รอรับเรื่อง,,0,"2023-05-12 12:35:57.675629+00"
2023-HLF4QR,{ต้นไม้},เขตป้อมปราบศัตรูพ่าย,"ทำไมมีการตัดต้นไม้ใหญ่ออกครึ่งต้นเลยไม่ได้เป็นการเล็มตกแต่งให้เข้าทรง เรียบร้อย","100.51571,13.75409",https://storage.googleapis.com/traffy_public_bucket/attachment/2023-05/bcce31c31efee56a1aa079a7af9ae3bc48fff6a9.jpg,,"2F Bobae Tower Zone 3B แขวง คลองมหานาค เขตป้อมปราบศัตรูพ่าย กรุงเทพมหานคร 10100 ประเทศไทย",คลองมหานาค,ป้อมปราบศัตรูพ่าย,กรุงเทพมหานคร,"2023-05-12 12:32:41.75629+00",รอรับเรื่อง,,0,"2023-05-12 12:32:41.745051+00"
2023-G2CBK2,{},เขตลาดกระบัง,เปิดไฟในซอยให้หน่อยครับ,"100.73465,13.76667",https://storage.googleapis.com/traffy_public_bucket/attachment/2023-05/098928b05f875ca745c83a7654914257033bdc8c.jpg,,"202/200 ถ. เคหะร่มเกล้า แขวงคลองสองต้นนุ่น เขตลาดกระบัง กรุงเทพมหานคร 10520 ประเทศไทย",คลองสองต้นนุ่น,ลาดกระบัง,กรุงเทพมหานคร,"2023-05-12 12:31:43.00202+00",รอรับเรื่อง,,0,"2023-05-12 12:31:42.982791+00"
2023-GDT4U7,{แสงสว่าง},เขตคันนายาว,"ไฟถนน เกษตรนวมินทร์หน้า chocolate ville ไฟดับมาหลายวันแล้วครับ","100.66747,13.81187",https://storage.googleapis.com/traffy_public_bucket/attachment/2023-05/3932f4acb4715838c066671517598ebbeefe7677.jpg,,"RM68+PXQ ซอย หมู่บ้านปิยะพร แขวงรามอินทรา เขตคันนายาว กรุงเทพมหานคร 10230 ประเทศไทย",รามอินทรา,คันนายาว,กรุงเทพมหานคร,"2023-05-12 12:31:03.468106+00",รอรับเรื่อง,,0,"2023-05-12 12:31:03.459371+00"
2023-4MRM4G,{แสงสว่าง},เขตคันนายาว,ไฟส่องสว่างไม่ติด,"100.65602,13.83572",https://storage.googleapis.com/traffy_public_bucket/attachment/2023-05/2be0ae7b344852a8acd84737e567a84dda539e01.jpg,,"104/27 นวิมนทร์ 163 แยก 12 แขวงรามอินทรา เขตคันนายาว กรุงเทพมหานคร 10230 ประเทศไทย",รามอินทรา,คันนายาว,กรุงเทพมหานคร,"2023-05-12 12:30:14.476283+00",รอรับเรื่อง,,0,"2023-05-12 12:30:14.462862+00"
